Mexican data set (Lawton et al. 2009),1 sigma,"Mogollon Highlands (Laskowski et al., 2013)",1 sigma,TSA3 Composite (May et al. 2013),1 sigma,Arc Laskowski et al. 2013,1 sigma,Mesozoic Eolianites,1 sigma,late Paleozoic Appalachian basin Washington Fm,1 sigma
1225.2,19.8,217,3,691.6,24.5,99.1,3.4,438.1,4.4,,
1299.6,48.9,217.3,4.8,720.5,9.7,99.1,2.1,439.4,3.1,,
1301.9,45.4,217.8,11,982.2,18.4,99.2,1.9,439.5,4.9,,
1381.8,26.6,217.9,4.9,1044.2,21.8,99.3,3,440.6,7,,
1460.1,30.6,218.7,4.5,1053.4,18.1,99.3,3.8,441.1,7.7,,
1588.5,23.6,219.5,2.2,1076,32.6,99.4,1.9,441.4,15.7,,
1641,42,219.8,1.6,1085.3,29.5,99.5,1.8,441.5,4.3,,
1653.6,43.8,220.6,3.9,1096,20.1,99.5,1.5,442,9.9,,
1689,37,221.5,3.8,1143.9,50,99.6,2.4,442.8,7.3,,
1691.3,29.9,222.3,4.5,1207.2,26.1,99.6,4.5,443,3.7,,
1768.3,75.2,223.1,2.7,1297.1,53.7,99.7,3.3,443.2,6.1,,
1778.8,34.3,224.5,6.3,1355.2,34.9,99.7,3.1,444.7,11.2,,
1789.9,32.2,225,10.8,1379.3,12.2,99.8,0.7,444.7,5,,
1799.7,23.7,226,2.5,1382.8,35.3,99.8,2.7,445,4.3,,
1842.6,27,226.3,2.2,1391.6,15,99.8,3.2,445,10,,
2427.3,27.1,226.8,2.7,1394.8,16.2,99.8,2.4,446.3,12,,
70.7,4.5,227.1,3.7,1431,26.7,99.9,1.7,446.4,2.9,,
71.9,5.1,228.2,5.5,1438.2,19.7,99.9,6.3,446.6,7.8,,
106.3,6.5,229.1,2.4,1438.6,22.5,100,2,446.8,5.3,,
107.8,1.2,229.3,3.8,1439,24.7,100.1,2.9,447.6,11.9,,
108.1,4.3,229.5,2.5,1454.4,21.6,100.3,2.3,447.6,3.8,,
118.6,2.4,229.9,4.8,1468.1,154.6,100.3,1.5,447.8,4.3,,
123.5,4.7,231,4.8,1506.3,17.9,100.4,1.6,448.6,7.3,,
133.4,4.5,231.2,4.2,1564.6,39.8,100.6,1.8,448.6,4.3,,
135.6,3.5,231.3,8,1598.8,16.1,100.6,1.5,448.9,11.7,,
136.7,3.8,231.5,2.3,1627.6,15.3,100.7,2,449.1,9.8,,
145.7,8.2,232.2,3.8,1630.9,23.1,100.7,2.5,449.8,6.8,,
150.4,8.1,233.2,2.9,1649.2,11.4,100.9,4.7,450.2,21.2,,
150.8,3,233.5,4.7,1697.1,27.4,101,4.5,450.2,13.8,,
153.7,4,236.1,9.5,1699.3,10.6,101.1,3.3,450.4,2.2,,
155,4.9,236.8,2.4,1700.6,7.6,101.2,4.6,452.5,3,,
155.8,8.4,238.5,7.1,1703.5,15.6,101.2,7,453.1,12.3,,
156.8,8.8,239.4,3.5,1703.9,30.7,101.2,1.3,453.2,5,,
159,9.8,241.6,3.5,1705.4,13.3,101.3,1.5,455.9,4.4,,
159.2,3.3,244.4,3.4,1707.5,13.8,101.3,2.9,456.3,13.1,,
159.2,13.4,244.8,6,1707.7,7.6,101.3,1.5,456.7,8.8,,
159.9,5.9,245,3.7,1710.3,12.6,101.5,2,456.7,13,,
163.4,2.9,245.6,3.9,1712,10.1,101.7,1.5,457.1,11.6,,
163.4,2.7,247.2,3.9,1713.3,27,101.7,2.8,457.7,6.7,,
168.2,4,250.8,2.7,1715.5,11.1,101.8,2.1,457.8,7.3,,
172,5,254.4,1.4,1716.4,10.1,101.8,2.4,459.1,8.7,,
182.1,12.9,256.9,10.5,1720,12.3,101.8,3.8,459.7,27.8,,
192.6,10.2,258.6,5.2,1734.9,29.2,101.9,1.3,460.3,4.4,,
212.1,9.6,258.9,2.5,1736.4,8.7,102,1.5,462.3,14.1,,
236.4,2.4,259.8,4.8,1740,16.7,102,1.7,462.7,4.8,,
246.8,3.5,264.4,6.2,1740.6,9,102.2,4.5,463.2,4.5,,
253,13,266.7,2.6,1746,52.5,102.2,2,464.1,12.1,,
